index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
108,HardSwish,960,16,16,1,1,1,960,16,16,0
109,Mean,960,16,16,1,1,1,960,1,1,0
110,Conv2D,960,1,1,1,1,1,240,1,1,230400
111,Conv2D,240,1,1,1,1,1,960,1,1,230400
112,Mul,960,1,1,1,1,1,960,1,1,0
113,Mul,960,16,16,1,1,1,960,16,16,0
114,Conv2D,960,16,16,1,1,1,160,16,16,39321600
115,Shortcut,160,16,16,1,0,0,160,16,16,40960
116,Conv2D,160,16,16,1,1,1,960,16,16,39321600
117,HardSwish,960,16,16,1,1,1,960,16,16,0
118,AveragePool2D,960,16,16,1,16,16,960,1,1,0
119,Conv2D,960,1,1,1,1,1,1280,1,1,1228800
120,HardSwish,1280,1,1,1,1,1,1280,1,1,0
121,AveragePool2D,1280,1,1,1,1,1,1280,1,1,0
122,Conv2D,1280,1,1,1,1,1,1001,1,1,1281280
123,Reshape,1001,1,1,1,1,1,1001,1,1,0
124,Softmax,1001,1,1,1,1,1,1001,1,1,0
125,OP_114,1001,1,1,1,1,1,1001,1,1,0
,TOTAL,,,,,,,,,,"1,116,818,560"
