index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
514,Reshape,32,1,384,1,1,1,32,1,1,0
515,Reshape,32,1,384,1,1,1,32,1,1,0
516,Reshape,32,1,384,1,1,1,32,1,1,0
517,Reshape,32,1,384,1,1,1,32,1,1,0
518,Transpose,32,1,1,1,1,1,384,1,1,0
519,FullyConnected,384,1,384,1,1,1,32,1,1,12288
520,Transpose,32,1,1,1,1,1,384,1,1,0
521,FullyConnected,384,1,384,1,1,1,32,1,1,12288
522,Transpose,32,1,1,1,1,1,384,1,1,0
523,FullyConnected,384,1,384,1,1,1,32,1,1,12288
524,Transpose,32,1,1,1,1,1,384,1,1,0
525,FullyConnected,384,1,384,1,1,1,32,1,1,12288
526,OP_83,32,1,1,1,1,1,32,4,384,0
527,Reshape,32,4,384,1,1,1,32,4,384,0
528,Transpose,32,4,384,1,1,1,32,384,4,0
529,Reshape,32,384,4,1,1,1,128,1,1,0
530,FullyConnected,128,1,1,1,1,1,128,1,1,16384
531,FullyConnected,512,1,384,1,1,1,128,1,1,65536
532,Add,128,1,1,1,1,1,128,1,1,0
533,Reshape,128,1,1,1,1,1,128,1,384,0
534,Add,128,1,384,1,1,1,128,1,384,0
535,FullyConnected,128,1,384,1,1,1,512,1,1,65536
536,FullyConnected,512,1,384,1,1,1,128,1,1,65536
537,Shortcut,128,1,384,1,0,0,128,1,384,49152
538,Add,128,1,384,1,1,1,128,1,384,0
539,FullyConnected,128,1,384,1,1,1,512,1,1,65536
540,FullyConnected,512,1,384,1,1,1,128,1,1,65536
541,Shortcut,128,1,384,1,0,0,128,1,384,49152
542,Add,128,1,384,1,1,1,128,1,384,0
543,FullyConnected,128,1,384,1,1,1,512,1,1,65536
544,FullyConnected,512,1,384,1,1,1,128,1,1,65536
545,Shortcut,128,1,384,1,0,0,128,1,384,49152
546,Add,128,1,384,1,1,1,128,1,384,0
547,FullyConnected,128,1,384,1,1,1,512,1,1,65536
548,FullyConnected,512,1,384,1,1,1,128,1,1,65536
549,Shortcut,128,1,384,1,0,0,128,1,384,49152
550,FullyConnected,128,1,384,1,1,1,512,1,1,65536
551,Shortcut,512,1,384,1,0,0,512,1,384,196608
552,Add,512,1,384,1,1,1,512,1,384,0
553,FullyConnected,512,1,384,1,1,1,128,1,1,65536
554,Reshape,128,1,1,1,1,1,32,384,4,0
555,Transpose,32,384,4,1,1,1,32,4,384,0
556,FullyConnected,512,1,384,1,1,1,128,1,1,65536
557,FullyConnected,128,1,1,1,1,1,128,1,1,16384
558,Reshape,128,1,1,1,1,1,32,384,4,0
