index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
112,Sigmoid,336,1,1,1,1,1,336,1,1,0
113,Mul,336,1,1,1,1,1,336,48,48,0
114,Conv2D,336,48,48,1,1,1,56,48,48,43352064
115,Shortcut,56,48,48,1,0,0,56,48,48,129024
116,Conv2D,56,48,48,1,1,1,336,48,48,43352064
117,Sigmoid,336,48,48,1,1,1,336,48,48,0
118,Mul,336,48,48,1,1,1,336,48,48,0
119,DepthwiseConv2D,336,48,48,1,5,5,336,48,48,19353600
120,Sigmoid,336,48,48,1,1,1,336,48,48,0
121,Mul,336,48,48,1,1,1,336,48,48,0
122,Mean,336,48,48,1,1,1,336,1,1,0
123,Conv2D,336,1,1,1,1,1,14,1,1,4704
124,Sigmoid,14,1,1,1,1,1,14,1,1,0
125,Mul,14,1,1,1,1,1,14,1,1,0
126,Conv2D,14,1,1,1,1,1,336,1,1,4704
127,Sigmoid,336,1,1,1,1,1,336,1,1,0
128,Mul,336,1,1,1,1,1,336,48,48,0
129,Conv2D,336,48,48,1,1,1,56,48,48,43352064
130,Shortcut,56,48,48,1,0,0,56,48,48,129024
131,Conv2D,56,48,48,1,1,1,336,48,48,43352064
132,Sigmoid,336,48,48,1,1,1,336,48,48,0
133,Mul,336,48,48,1,1,1,336,48,48,0
134,DepthwiseConv2D,336,48,48,1,5,5,336,48,48,19353600
135,Sigmoid,336,48,48,1,1,1,336,48,48,0
136,Mul,336,48,48,1,1,1,336,48,48,0
137,Mean,336,48,48,1,1,1,336,1,1,0
138,Conv2D,336,1,1,1,1,1,14,1,1,4704
139,Sigmoid,14,1,1,1,1,1,14,1,1,0
140,Mul,14,1,1,1,1,1,14,1,1,0
141,Conv2D,14,1,1,1,1,1,336,1,1,4704
142,Sigmoid,336,1,1,1,1,1,336,1,1,0
143,Mul,336,1,1,1,1,1,336,48,48,0
144,Conv2D,336,48,48,1,1,1,56,48,48,43352064
145,Shortcut,56,48,48,1,0,0,56,48,48,129024
146,Conv2D,56,48,48,1,1,1,336,48,48,43352064
147,Sigmoid,336,48,48,1,1,1,336,48,48,0
148,Mul,336,48,48,1,1,1,336,48,48,0
149,DepthwiseConv2D,336,48,48,2,3,3,336,24,24,1741824
150,Sigmoid,336,24,24,1,1,1,336,24,24,0
151,Mul,336,24,24,1,1,1,336,24,24,0
152,Mean,336,24,24,1,1,1,336,1,1,0
153,Conv2D,336,1,1,1,1,1,14,1,1,4704
154,Sigmoid,14,1,1,1,1,1,14,1,1,0
155,Mul,14,1,1,1,1,1,14,1,1,0
156,Conv2D,14,1,1,1,1,1,336,1,1,4704
157,Sigmoid,336,1,1,1,1,1,336,1,1,0
158,Mul,336,1,1,1,1,1,336,24,24,0
159,Conv2D,336,24,24,1,1,1,112,24,24,21676032
160,Conv2D,112,24,24,1,1,1,672,24,24,43352064
161,Sigmoid,672,24,24,1,1,1,672,24,24,0
162,Mul,672,24,24,1,1,1,672,24,24,0
163,DepthwiseConv2D,672,24,24,1,3,3,672,24,24,3483648
164,Sigmoid,672,24,24,1,1,1,672,24,24,0
165,Mul,672,24,24,1,1,1,672,24,24,0
166,Mean,672,24,24,1,1,1,672,1,1,0
167,Conv2D,672,1,1,1,1,1,28,1,1,18816
168,Sigmoid,28,1,1,1,1,1,28,1,1,0
169,Mul,28,1,1,1,1,1,28,1,1,0
170,Conv2D,28,1,1,1,1,1,672,1,1,18816
171,Sigmoid,672,1,1,1,1,1,672,1,1,0
172,Mul,672,1,1,1,1,1,672,24,24,0
173,Conv2D,672,24,24,1,1,1,112,24,24,43352064
174,Shortcut,112,24,24,1,0,0,112,24,24,64512
175,Conv2D,112,24,24,1,1,1,672,24,24,43352064
176,Sigmoid,672,24,24,1,1,1,672,24,24,0
177,Mul,672,24,24,1,1,1,672,24,24,0
178,DepthwiseConv2D,672,24,24,1,3,3,672,24,24,3483648
179,Sigmoid,672,24,24,1,1,1,672,24,24,0
180,Mul,672,24,24,1,1,1,672,24,24,0
181,Mean,672,24,24,1,1,1,672,1,1,0
182,Conv2D,672,1,1,1,1,1,28,1,1,18816
183,Sigmoid,28,1,1,1,1,1,28,1,1,0
184,Mul,28,1,1,1,1,1,28,1,1,0
185,Conv2D,28,1,1,1,1,1,672,1,1,18816
186,Sigmoid,672,1,1,1,1,1,672,1,1,0
187,Mul,672,1,1,1,1,1,672,24,24,0
188,Conv2D,672,24,24,1,1,1,112,24,24,43352064
189,Shortcut,112,24,24,1,0,0,112,24,24,64512
190,Conv2D,112,24,24,1,1,1,672,24,24,43352064
191,Sigmoid,672,24,24,1,1,1,672,24,24,0
192,Mul,672,24,24,1,1,1,672,24,24,0
193,DepthwiseConv2D,672,24,24,1,3,3,672,24,24,3483648
194,Sigmoid,672,24,24,1,1,1,672,24,24,0
195,Mul,672,24,24,1,1,1,672,24,24,0
196,Mean,672,24,24,1,1,1,672,1,1,0
197,Conv2D,672,1,1,1,1,1,28,1,1,18816
198,Sigmoid,28,1,1,1,1,1,28,1,1,0
199,Mul,28,1,1,1,1,1,28,1,1,0
200,Conv2D,28,1,1,1,1,1,672,1,1,18816
201,Sigmoid,672,1,1,1,1,1,672,1,1,0
202,Mul,672,1,1,1,1,1,672,24,24,0
203,Conv2D,672,24,24,1,1,1,112,24,24,43352064
204,Shortcut,112,24,24,1,0,0,112,24,24,64512
205,Conv2D,112,24,24,1,1,1,672,24,24,43352064
206,Sigmoid,672,24,24,1,1,1,672,24,24,0
207,Mul,672,24,24,1,1,1,672,24,24,0
208,DepthwiseConv2D,672,24,24,1,3,3,672,24,24,3483648
209,Sigmoid,672,24,24,1,1,1,672,24,24,0
210,Mul,672,24,24,1,1,1,672,24,24,0
211,Mean,672,24,24,1,1,1,672,1,1,0
212,Conv2D,672,1,1,1,1,1,28,1,1,18816
213,Sigmoid,28,1,1,1,1,1,28,1,1,0
214,Mul,28,1,1,1,1,1,28,1,1,0
215,Conv2D,28,1,1,1,1,1,672,1,1,18816
216,Sigmoid,672,1,1,1,1,1,672,1,1,0
217,Mul,672,1,1,1,1,1,672,24,24,0
218,Conv2D,672,24,24,1,1,1,112,24,24,43352064
219,Shortcut,112,24,24,1,0,0,112,24,24,64512
220,Conv2D,112,24,24,1,1,1,672,24,24,43352064
221,Sigmoid,672,24,24,1,1,1,672,24,24,0
222,Mul,672,24,24,1,1,1,672,24,24,0
223,DepthwiseConv2D,672,24,24,1,3,3,672,24,24,3483648
224,Sigmoid,672,24,24,1,1,1,672,24,24,0
225,Mul,672,24,24,1,1,1,672,24,24,0
226,Mean,672,24,24,1,1,1,672,1,1,0
227,Conv2D,672,1,1,1,1,1,28,1,1,18816
228,Sigmoid,28,1,1,1,1,1,28,1,1,0
229,Mul,28,1,1,1,1,1,28,1,1,0
230,Conv2D,28,1,1,1,1,1,672,1,1,18816
231,Sigmoid,672,1,1,1,1,1,672,1,1,0
232,Mul,672,1,1,1,1,1,672,24,24,0
233,Conv2D,672,24,24,1,1,1,112,24,24,43352064
234,Shortcut,112,24,24,1,0,0,112,24,24,64512
235,Conv2D,112,24,24,1,1,1,672,24,24,43352064
236,Sigmoid,672,24,24,1,1,1,672,24,24,0
237,Mul,672,24,24,1,1,1,672,24,24,0
238,DepthwiseConv2D,672,24,24,1,5,5,672,24,24,9676800
239,Sigmoid,672,24,24,1,1,1,672,24,24,0
240,Mul,672,24,24,1,1,1,672,24,24,0
241,Mean,672,24,24,1,1,1,672,1,1,0
242,Conv2D,672,1,1,1,1,1,28,1,1,18816
243,Sigmoid,28,1,1,1,1,1,28,1,1,0
244,Mul,28,1,1,1,1,1,28,1,1,0
245,Conv2D,28,1,1,1,1,1,672,1,1,18816
246,Sigmoid,672,1,1,1,1,1,672,1,1,0
247,Mul,672,1,1,1,1,1,672,24,24,0
248,Conv2D,672,24,24,1,1,1,160,24,24,61931520
249,Conv2D,160,24,24,1,1,1,960,24,24,88473600
250,Sigmoid,960,24,24,1,1,1,960,24,24,0
251,Mul,960,24,24,1,1,1,960,24,24,0
252,DepthwiseConv2D,960,24,24,1,5,5,960,24,24,13824000
253,Sigmoid,960,24,24,1,1,1,960,24,24,0
254,Mul,960,24,24,1,1,1,960,24,24,0
255,Mean,960,24,24,1,1,1,960,1,1,0
256,Conv2D,960,1,1,1,1,1,40,1,1,38400
257,Sigmoid,40,1,1,1,1,1,40,1,1,0
258,Mul,40,1,1,1,1,1,40,1,1,0
259,Conv2D,40,1,1,1,1,1,960,1,1,38400
260,Sigmoid,960,1,1,1,1,1,960,1,1,0
261,Mul,960,1,1,1,1,1,960,24,24,0
262,Conv2D,960,24,24,1,1,1,160,24,24,88473600
263,Shortcut,160,24,24,1,0,0,160,24,24,92160
264,Conv2D,160,24,24,1,1,1,960,24,24,88473600
265,Sigmoid,960,24,24,1,1,1,960,24,24,0
266,Mul,960,24,24,1,1,1,960,24,24,0
267,DepthwiseConv2D,960,24,24,1,5,5,960,24,24,13824000
268,Sigmoid,960,24,24,1,1,1,960,24,24,0
269,Mul,960,24,24,1,1,1,960,24,24,0
270,Mean,960,24,24,1,1,1,960,1,1,0
271,Conv2D,960,1,1,1,1,1,40,1,1,38400
272,Sigmoid,40,1,1,1,1,1,40,1,1,0
273,Mul,40,1,1,1,1,1,40,1,1,0
274,Conv2D,40,1,1,1,1,1,960,1,1,38400
275,Sigmoid,960,1,1,1,1,1,960,1,1,0
276,Mul,960,1,1,1,1,1,960,24,24,0
277,Conv2D,960,24,24,1,1,1,160,24,24,88473600
