index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,OP_114,3,224,224,1,1,1,3,224,224,0
2,Conv2D,3,224,224,2,3,3,32,112,112,10838016
3,DepthwiseConv2D,32,112,112,1,3,3,32,112,112,3612672
4,Conv2D,32,112,112,1,1,1,16,112,112,6422528
5,Conv2D,16,112,112,1,1,1,96,112,112,19267584
6,DepthwiseConv2D,96,112,112,2,3,3,96,56,56,2709504
7,Conv2D,96,56,56,1,1,1,24,56,56,7225344
8,Conv2D,24,56,56,1,1,1,144,56,56,10838016
9,DepthwiseConv2D,144,56,56,1,3,3,144,56,56,4064256
10,Conv2D,144,56,56,1,1,1,24,56,56,10838016
11,Shortcut,24,56,56,1,0,0,24,56,56,75264
12,Conv2D,24,56,56,1,1,1,144,56,56,10838016
13,DepthwiseConv2D,144,56,56,2,3,3,144,28,28,1016064
14,Conv2D,144,28,28,1,1,1,32,28,28,3612672
15,Conv2D,32,28,28,1,1,1,192,28,28,4816896
16,DepthwiseConv2D,192,28,28,1,3,3,192,28,28,1354752
17,Conv2D,192,28,28,1,1,1,32,28,28,4816896
18,Shortcut,32,28,28,1,0,0,32,28,28,25088
19,Conv2D,32,28,28,1,1,1,192,28,28,4816896
20,DepthwiseConv2D,192,28,28,1,3,3,192,28,28,1354752
21,Conv2D,192,28,28,1,1,1,32,28,28,4816896
22,Shortcut,32,28,28,1,0,0,32,28,28,25088
23,Conv2D,32,28,28,1,1,1,192,28,28,4816896
24,DepthwiseConv2D,192,28,28,2,3,3,192,14,14,338688
25,Conv2D,192,14,14,1,1,1,64,14,14,2408448
26,Conv2D,64,14,14,1,1,1,384,14,14,4816896
27,DepthwiseConv2D,384,14,14,1,3,3,384,14,14,677376
28,Conv2D,384,14,14,1,1,1,64,14,14,4816896
29,Shortcut,64,14,14,1,0,0,64,14,14,12544
30,Conv2D,64,14,14,1,1,1,384,14,14,4816896
31,DepthwiseConv2D,384,14,14,1,3,3,384,14,14,677376
32,Conv2D,384,14,14,1,1,1,64,14,14,4816896
33,Shortcut,64,14,14,1,0,0,64,14,14,12544
34,Conv2D,64,14,14,1,1,1,384,14,14,4816896
35,DepthwiseConv2D,384,14,14,1,3,3,384,14,14,677376
36,Conv2D,384,14,14,1,1,1,64,14,14,4816896
37,Shortcut,64,14,14,1,0,0,64,14,14,12544
38,Conv2D,64,14,14,1,1,1,384,14,14,4816896
39,DepthwiseConv2D,384,14,14,1,3,3,384,14,14,677376
40,Conv2D,384,14,14,1,1,1,96,14,14,7225344
41,Conv2D,96,14,14,1,1,1,576,14,14,10838016
42,DepthwiseConv2D,576,14,14,1,3,3,576,14,14,1016064
43,Conv2D,576,14,14,1,1,1,96,14,14,10838016
44,Shortcut,96,14,14,1,0,0,96,14,14,18816
45,Conv2D,96,14,14,1,1,1,576,14,14,10838016
46,DepthwiseConv2D,576,14,14,1,3,3,576,14,14,1016064
47,Conv2D,576,14,14,1,1,1,96,14,14,10838016
48,Shortcut,96,14,14,1,0,0,96,14,14,18816
49,Conv2D,96,14,14,1,1,1,576,14,14,10838016
50,DepthwiseConv2D,576,14,14,2,3,3,576,7,7,254016
51,Conv2D,576,7,7,1,1,1,160,7,7,4515840
52,Conv2D,160,7,7,1,1,1,960,7,7,7526400
53,DepthwiseConv2D,960,7,7,1,3,3,960,7,7,423360
54,Conv2D,960,7,7,1,1,1,160,7,7,7526400
55,Shortcut,160,7,7,1,0,0,160,7,7,7840
56,Conv2D,160,7,7,1,1,1,960,7,7,7526400
57,DepthwiseConv2D,960,7,7,1,3,3,960,7,7,423360
58,Conv2D,960,7,7,1,1,1,160,7,7,7526400
59,Shortcut,160,7,7,1,0,0,160,7,7,7840
60,Conv2D,160,7,7,1,1,1,960,7,7,7526400
61,DepthwiseConv2D,960,7,7,1,3,3,960,7,7,423360
62,Conv2D,960,7,7,1,1,1,320,7,7,15052800
63,Conv2D,320,7,7,1,1,1,1280,7,7,20070400
64,AveragePool2D,1280,7,7,1,7,7,1280,1,1,0
65,Conv2D,1280,1,1,1,1,1,1001,1,1,1281280
66,Reshape,1001,1,1,1,1,1,1001,1,1,0
67,Softmax,1001,1,1,1,1,1,1001,1,1,0
68,OP_114,1001,1,1,1,1,1,1001,1,1,0
,TOTAL,,,,,,,,,,"300,991,936"
