index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
781,Sigmoid,256,1,1,1,1,1,256,1,1,0
782,Tanh,256,1,1,1,1,1,256,1,1,0
783,Mul,256,1,1,1,1,1,256,1,1,0
784,Mul,256,1,1,1,1,1,256,1,1,0
785,Add,256,1,1,1,1,1,256,1,1,0
786,Tanh,256,1,1,1,1,1,256,1,1,0
787,Mul,256,1,1,1,1,1,256,1,1,0
788,OP_83,256,1,1,1,1,1,256,25,1,0
789,Concat,256,25,1,1,1,1,512,25,1,0
790,OP_88,512,25,1,1,1,1,512,1,1,0
791,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
792,OP_49,1,1,1,1,1,1,256,1,1,0
793,Sigmoid,256,1,1,1,1,1,256,1,1,0
794,Sigmoid,256,1,1,1,1,1,256,1,1,0
795,Mul,256,1,1,1,1,1,256,1,1,0
796,Sigmoid,256,1,1,1,1,1,256,1,1,0
797,Tanh,256,1,1,1,1,1,256,1,1,0
798,Mul,256,1,1,1,1,1,256,1,1,0
799,Add,256,1,1,1,1,1,256,1,1,0
800,Tanh,256,1,1,1,1,1,256,1,1,0
801,Mul,256,1,1,1,1,1,256,1,1,0
802,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
803,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
804,Add,1024,1,1,1,1,1,1024,1,1,0
805,Add,1024,1,1,1,1,1,1024,1,1,0
806,OP_49,1,1,1,1,1,1,256,1,1,0
807,Sigmoid,256,1,1,1,1,1,256,1,1,0
808,Sigmoid,256,1,1,1,1,1,256,1,1,0
809,Mul,256,1,1,1,1,1,256,1,1,0
810,Sigmoid,256,1,1,1,1,1,256,1,1,0
811,Tanh,256,1,1,1,1,1,256,1,1,0
812,Mul,256,1,1,1,1,1,256,1,1,0
813,Add,256,1,1,1,1,1,256,1,1,0
814,Tanh,256,1,1,1,1,1,256,1,1,0
815,Mul,256,1,1,1,1,1,256,1,1,0
816,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
817,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
818,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
819,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
820,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
821,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
822,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
823,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
824,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
825,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
826,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
827,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
828,Add,1024,1,1,1,1,1,1024,1,1,0
829,Add,1024,1,1,1,1,1,1024,1,1,0
830,OP_49,1,1,1,1,1,1,256,1,1,0
831,Sigmoid,256,1,1,1,1,1,256,1,1,0
832,Sigmoid,256,1,1,1,1,1,256,1,1,0
833,Mul,256,1,1,1,1,1,256,1,1,0
834,Sigmoid,256,1,1,1,1,1,256,1,1,0
835,Tanh,256,1,1,1,1,1,256,1,1,0
836,Mul,256,1,1,1,1,1,256,1,1,0
837,Add,256,1,1,1,1,1,256,1,1,0
838,Tanh,256,1,1,1,1,1,256,1,1,0
839,Mul,256,1,1,1,1,1,256,1,1,0
840,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
841,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
842,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
843,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
844,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
845,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
846,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
847,Add,1024,1,1,1,1,1,1024,1,1,0
848,Add,1024,1,1,1,1,1,1024,1,1,0
849,OP_49,1,1,1,1,1,1,256,1,1,0
850,Sigmoid,256,1,1,1,1,1,256,1,1,0
851,Sigmoid,256,1,1,1,1,1,256,1,1,0
852,Mul,256,1,1,1,1,1,256,1,1,0
853,Sigmoid,256,1,1,1,1,1,256,1,1,0
854,Tanh,256,1,1,1,1,1,256,1,1,0
855,Mul,256,1,1,1,1,1,256,1,1,0
856,Add,256,1,1,1,1,1,256,1,1,0
857,Tanh,256,1,1,1,1,1,256,1,1,0
858,Mul,256,1,1,1,1,1,256,1,1,0
859,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
860,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
861,Add,1024,1,1,1,1,1,1024,1,1,0
862,Add,1024,1,1,1,1,1,1024,1,1,0
863,OP_49,1,1,1,1,1,1,256,1,1,0
864,Sigmoid,256,1,1,1,1,1,256,1,1,0
865,Sigmoid,256,1,1,1,1,1,256,1,1,0
866,Mul,256,1,1,1,1,1,256,1,1,0
867,Sigmoid,256,1,1,1,1,1,256,1,1,0
868,Tanh,256,1,1,1,1,1,256,1,1,0
869,Mul,256,1,1,1,1,1,256,1,1,0
870,Add,256,1,1,1,1,1,256,1,1,0
871,Tanh,256,1,1,1,1,1,256,1,1,0
872,Mul,256,1,1,1,1,1,256,1,1,0
873,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
874,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
875,Add,1024,1,1,1,1,1,1024,1,1,0
876,Add,1024,1,1,1,1,1,1024,1,1,0
877,OP_49,1,1,1,1,1,1,256,1,1,0
878,Sigmoid,256,1,1,1,1,1,256,1,1,0
879,Sigmoid,256,1,1,1,1,1,256,1,1,0
880,Mul,256,1,1,1,1,1,256,1,1,0
881,Sigmoid,256,1,1,1,1,1,256,1,1,0
882,Tanh,256,1,1,1,1,1,256,1,1,0
883,Mul,256,1,1,1,1,1,256,1,1,0
884,Add,256,1,1,1,1,1,256,1,1,0
885,Tanh,256,1,1,1,1,1,256,1,1,0
886,Mul,256,1,1,1,1,1,256,1,1,0
887,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
888,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
889,Add,1024,1,1,1,1,1,1024,1,1,0
890,Add,1024,1,1,1,1,1,1024,1,1,0
891,OP_49,1,1,1,1,1,1,256,1,1,0
892,Sigmoid,256,1,1,1,1,1,256,1,1,0
893,Sigmoid,256,1,1,1,1,1,256,1,1,0
894,Mul,256,1,1,1,1,1,256,1,1,0
895,Sigmoid,256,1,1,1,1,1,256,1,1,0
896,Tanh,256,1,1,1,1,1,256,1,1,0
897,Mul,256,1,1,1,1,1,256,1,1,0
898,Add,256,1,1,1,1,1,256,1,1,0
