index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
1,OP_114,3,1,1,1,1,1,3,1,1,0
2,Conv2D,3,1,1,1,3,3,64,1,1,1728
3,Conv2D,64,1,1,1,3,3,64,1,1,36864
4,Conv2D,64,1,1,1,3,3,64,1,1,36864
5,Shortcut,64,1,1,1,0,0,64,1,1,64
6,Conv2D,64,1,1,1,3,3,64,1,1,36864
7,Conv2D,64,1,1,1,3,3,64,1,1,36864
8,Shortcut,64,1,1,1,0,0,64,1,1,64
9,Conv2D,64,1,1,1,3,3,64,1,1,36864
10,Conv2D,64,1,1,1,3,3,64,1,1,36864
11,Shortcut,64,1,1,1,0,0,64,1,1,64
12,Conv2D,64,1,1,1,3,3,64,1,1,36864
13,Conv2D,64,1,1,1,3,3,64,1,1,36864
14,Shortcut,64,1,1,1,0,0,64,1,1,64
15,Conv2D,64,1,1,1,3,3,64,1,1,36864
16,Conv2D,64,1,1,1,3,3,64,1,1,36864
17,Conv2D,64,1,1,1,3,3,3,1,1,1728
18,OP_114,3,1,1,1,1,1,3,1,1,0
,TOTAL,,,,,,,,,,"372,352"
